age,sex,type,name,affiliates,contributors,oldage_num,oldage_ben,disa_num,disa_ben,survivor_num,survivor_ben
55,2,DB,Transicion,"309,220","111,319",3,"29,155",911,"7,496","14,431","7,704"
56,2,DB,Transicion,"291,676","105,003",0,0,875,"7,862","15,777","7,810"
57,2,DB,Transicion,"313,611","94,083",0,0,962,"6,662","16,666","7,842"
58,2,DB,Transicion,"328,164","82,041",0,0,952,"6,879","18,061","7,976"
59,2,DB,Transicion,"307,409","61,482",3,"34,431","1,006","6,928","19,335","7,898"
60,2,DB,Transicion,"497,401","49,740",0,0,983,"6,649","20,408","8,076"
61,2,DB,Transicion,"377,374","37,737","21,867","14,130",907,"6,777","22,653","8,186"
62,2,DB,Transicion,"326,325","32,632","40,881","13,443","1,002","6,210","24,000","8,090"
63,2,DB,Transicion,"270,783","27,078","47,710","13,068",924,"7,216","24,465","7,988"
64,2,DB,Transicion,"192,456","19,246","51,380","12,829","1,026","6,412","26,623","7,793"
65,2,DB,Transicion,"142,794","14,279","51,178","12,457",839,"5,914","26,867","7,770"
66,2,DB,Transicion,"93,132","9,313","52,710","12,333",938,"5,431","28,122","7,600"
67,2,DB,Transicion,"80,530","8,053","52,269","12,039",986,"6,023","29,143","7,418"
68,2,DB,Transicion,"67,929","6,793","49,735","11,686",861,"5,977","30,283","7,266"
69,2,DB,Transicion,"60,599","6,060","45,672","11,182",813,"5,226","29,980","7,316"
70,2,DB,Transicion,"46,796","4,680","43,364","10,598",750,"4,999","30,754","7,119"
71,2,DB,Transicion,"32,994","3,299","39,898","10,153",693,"4,495","32,103","6,826"
72,2,DB,Transicion,"26,395","2,640","36,665","9,668",702,"5,167","32,022","6,770"
73,2,DB,Transicion,"19,796","1,980","33,087","9,538",604,"4,671","32,988","6,564"
74,2,DB,Transicion,"19,796","1,980","30,866","9,003",736,"4,491","33,862","6,476"
75,2,DB,Transicion,0,0,"27,827","8,769",563,"4,121","32,488","6,412"
76,2,DB,Transicion,0,0,"24,549","8,533",504,"5,397","32,864","6,270"
77,2,DB,Transicion,0,0,"22,016","8,269",470,"3,402","32,260","5,962"
78,2,DB,Transicion,0,0,"20,109","7,832",493,"4,605","32,037","5,838"
79,2,DB,Transicion,0,0,"18,091","7,813",400,"3,790","31,828","5,714"
