age,sex,type,name,affiliates,contributors,iacc,oldage_num,oldage_ben,disa_num,disa_ben,survivor_num,survivor_ben
56,2,DC,Afores,"21,954","7,903","204,185",0,0,34,"6,703",460,"5,374"
57,2,DC,Afores,"16,159","4,848","217,016",0,0,29,"6,912",462,"5,718"
58,2,DC,Afores,"11,656","2,914","225,372",0,0,28,"6,325",479,"5,318"
59,2,DC,Afores,"7,562","1,512","241,857",0,0,25,"6,900",479,"5,633"
60,2,DC,Afores,"8,503",850,"246,462",0,0,23,"7,398",476,"5,572"
61,2,DC,Afores,"4,493",449,"240,235",5,"4,658",29,"7,000",481,"5,533"
62,2,DC,Afores,0,0,"228,374",62,"4,901",25,"6,584",485,"5,564"
63,2,DC,Afores,0,0,"232,606",109,"4,890",16,"6,941",472,"5,539"
64,2,DC,Afores,0,0,"225,294",299,"4,897",15,"7,886",498,"5,210"
65,2,DC,Afores,0,0,"246,355",486,"4,880",14,"8,389",450,"5,343"
66,2,DC,Afores,0,0,"249,371",736,"4,874",8,"8,612",468,"5,424"
67,2,DC,Afores,0,0,"252,388",668,"4,891",9,"8,764",445,"5,468"
68,2,DC,Afores,0,0,"255,405",736,"4,899",8,"8,348",440,"5,318"
69,2,DC,Afores,0,0,"258,421",772,"4,893",7,"8,140",419,"5,137"
70,2,DC,Afores,0,0,"261,438",751,"4,889",5,"9,595",402,"5,130"
71,2,DC,Afores,0,0,"264,454",744,"4,841",6,"8,287",372,"5,103"
72,2,DC,Afores,0,0,"267,471",848,"4,866",5,"8,619",373,"5,211"
73,2,DC,Afores,0,0,"270,488",754,"4,872",3,"12,364",367,"5,194"
74,2,DC,Afores,0,0,"273,504",884,"4,897",4,"8,902",353,"5,150"
75,2,DC,Afores,0,0,0,775,"4,888",5,"9,103",309,"5,087"
76,2,DC,Afores,0,0,0,681,"4,929",2,"13,220",277,"5,041"
77,2,DC,Afores,0,0,0,533,"4,890",2,"10,469",248,"4,997"
78,2,DC,Afores,0,0,0,463,"4,904",1,"9,607",228,"5,187"
79,2,DC,Afores,0,0,0,322,"4,889",2,"10,744",204,"4,865"
80,2,DC,Afores,0,0,0,289,"4,874",1,"8,753",185,"4,789"
